"Link", "Stratum_1__SEER_historic_stage_LRD", "Stratum_2__Age_breast", "estimate", "c_int", "c_1__Year_of_diagnosis_BC__0", "c_1__Year_of_diagnosis_BC__1", "c_1__Year_of_diagnosis_BC__2", "c_1__Year_of_diagnosis_BC__3", "u_int", "u_1__Year_of_diagnosis_BC__0", "u_1__Year_of_diagnosis_BC__1", "u_1__Year_of_diagnosis_BC__2", "u_1__Year_of_diagnosis_BC__3", "s_int"
Weibull, 0, 0, 1.01484373, 0.00067001, 0, -0.00061500, -0.00058285, -0.00045821, -0.00035206, 0, 0.00028440, 0.00024428, 0.00011199, -0.00007697
Weibull, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 0, 0, 0.43576396, -0.00061500, 0, 0.00134655, 0.00063279, 0.00065824, 0.00029176, 0, -0.00074531, -0.00031377, -0.00034078, -0.00001571
Weibull, 0, 0, 0.67825380, -0.00058285, 0, 0.00063279, 0.00178812, 0.00077515, 0.00025653, 0, -0.00031795, -0.00127358, -0.00047449, -0.00006989
Weibull, 0, 0, 1.04279584, -0.00045821, 0, 0.00065824, 0.00077515, 0.00497547, 0.00011992, 0, -0.00036592, -0.00051183, -0.00424838, -0.00027990
Weibull, 0, 0, 2.66692839, -0.00035206, 0, 0.00029176, 0.00025653, 0.00011992, 0.00063298, 0, -0.00055883, -0.00051485, -0.00036985, 0.00008437
Weibull, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 0, 0, -0.09208276, 0.00028440, 0, -0.00074531, -0.00031795, -0.00036592, -0.00055883, 0, 0.00139285, 0.00060031, 0.00065123, 0.00002963
Weibull, 0, 0, -0.13805986, 0.00024428, 0, -0.00031377, -0.00127358, -0.00051183, -0.00051485, 0, 0.00060031, 0.00200175, 0.00081811, 0.00009724
Weibull, 0, 0, -0.12271081, 0.00011199, 0, -0.00034078, -0.00047449, -0.00424838, -0.00036985, 0, 0.00065123, 0.00081811, 0.00455865, 0.00032014
Weibull, 0, 0, -0.27456568, -0.00007697, 0, -0.00001571, -0.00006989, -0.00027990, 0.00008437, 0, 0.00002963, 0.00009724, 0.00032014, 0.00012970
Weibull, 0, 1, 0.60438192, 0.00688012, 0, -0.00519270, -0.00491070, -0.00437195, -0.00501137, 0, 0.00335321, 0.00301391, 0.00230408, -0.00075107
Weibull, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 0, 1, 0.39672086, -0.00519270, 0, 0.01047799, 0.00516775, 0.00516092, 0.00351554, 0, -0.00754936, -0.00349023, -0.00348124, 0.00000952
Weibull, 0, 1, 0.76989571, -0.00491070, 0, 0.00516775, 0.01452222, 0.00529278, 0.00326555, 0, -0.00351815, -0.01126831, -0.00367797, -0.00011442
Weibull, 0, 1, 1.44879017, -0.00437195, 0, 0.00516092, 0.00529278, 0.01784396, 0.00278797, 0, -0.00356327, -0.00372191, -0.01435218, -0.00035117
Weibull, 0, 1, 3.08093297, -0.00501137, 0, 0.00351554, 0.00326555, 0.00278797, 0.00431756, 0, -0.00284766, -0.00254688, -0.00191765, 0.00066580
Weibull, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 0, 1, -0.10729198, 0.00335321, 0, -0.00754936, -0.00351815, -0.00356327, -0.00284766, 0, 0.00683791, 0.00301495, 0.00307439, 0.00006290
Weibull, 0, 1, -0.17999994, 0.00301391, 0, -0.00349023, -0.01126831, -0.00372191, -0.00254688, 0, 0.00301495, 0.01044523, 0.00331109, 0.00021201
Weibull, 0, 1, -0.44100571, 0.00230408, 0, -0.00348124, -0.00367797, -0.01435218, -0.00191765, 0, 0.00307439, 0.00331109, 0.01317650, 0.00052395
Weibull, 0, 1, -0.28454709, -0.00075107, 0, 0.00000952, -0.00011442, -0.00035117, 0.00066580, 0, 0.00006290, 0.00021201, 0.00052395, 0.00033007
Weibull, 0, 2, -0.00150487, 0.03547229, 0, -0.02792865, -0.02861182, -0.02872183, -0.01963758, 0, 0.01382384, 0.01352378, 0.01291631, -0.00157762
Weibull, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 0, 2, 0.36833283, -0.02792865, 0, 0.04510448, 0.02695780, 0.02697337, 0.01469082, 0, -0.02512534, -0.01382563, -0.01373967, 0.00022325
Weibull, 0, 2, 0.82732686, -0.02861182, 0, 0.02695780, 0.04363698, 0.02713172, 0.01513881, 0, -0.01386409, -0.02582495, -0.01366510, 0.00034591
Weibull, 0, 2, 1.30922155, -0.02872183, 0, 0.02697337, 0.02713172, 0.03913458, 0.01521094, 0, -0.01386344, -0.01379389, -0.02309887, 0.00036566
Weibull, 0, 2, 3.18308300, -0.01963758, 0, 0.01469082, 0.01513881, 0.01521094, 0.01155519, 0, -0.00774282, -0.00754606, -0.00714771, 0.00103453
Weibull, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 0, 2, -0.05482137, 0.01382384, 0, -0.02512534, -0.01386409, -0.01386344, -0.00774282, 0, 0.01526890, 0.00777869, 0.00778225, 0.00000926
Weibull, 0, 2, -0.16361540, 0.01352378, 0, -0.01382563, -0.02582495, -0.01379389, -0.00754606, 0, 0.00777869, 0.01717766, 0.00781500, 0.00006313
Weibull, 0, 2, -0.46366585, 0.01291631, 0, -0.01373967, -0.01366510, -0.02309887, -0.00714771, 0, 0.00778225, 0.00781500, 0.01577868, 0.00017219
Weibull, 0, 2, -0.21335723, -0.00157762, 0, 0.00022325, 0.00034591, 0.00036566, 0.00103453, 0, 0.00000926, 0.00006313, 0.00017219, 0.00028324
Weibull, 1, 0, -0.20473292, 0.00047541, 0, -0.00047109, -0.00046693, -0.00044948, -0.00005511, 0, 0.00005256, 0.00004672, 0.00002767, -0.00001241
Weibull, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 1, 0, 0.30195118, -0.00047109, 0, 0.00095585, 0.00047574, 0.00048533, 0.00005549, 0, -0.00015163, -0.00006009, -0.00007056, -0.00000681
Weibull, 1, 0, 0.61821797, -0.00046693, 0, 0.00047574, 0.00102927, 0.00051982, 0.00005585, 0, -0.00006105, -0.00030581, -0.00011181, -0.00002531
Weibull, 1, 0, 1.01358937, -0.00044948, 0, 0.00048533, 0.00051982, 0.00188575, 0.00005739, 0, -0.00007849, -0.00012692, -0.00120338, -0.00010290
Weibull, 1, 0, 2.14570101, -0.00005511, 0, 0.00005549, 0.00005585, 0.00005739, 0.00019478, 0, -0.00019501, -0.00019552, -0.00019719, -0.00000109
Weibull, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 1, 0, -0.02837411, 0.00005256, 0, -0.00015163, -0.00006105, -0.00007849, -0.00019501, 0, 0.00046767, 0.00020339, 0.00022244, 0.00001241
Weibull, 1, 0, -0.00925446, 0.00004672, 0, -0.00006009, -0.00030581, -0.00012692, -0.00019552, 0, 0.00020339, 0.00065931, 0.00028036, 0.00003838
Weibull, 1, 0, 0.09514010, 0.00002767, 0, -0.00007056, -0.00011181, -0.00120338, -0.00019719, 0, 0.00022244, 0.00028036, 0.00136634, 0.00012308
Weibull, 1, 0, -0.20691832, -0.00001241, 0, -0.00000681, -0.00002531, -0.00010290, -0.00000109, 0, 0.00001241, 0.00003838, 0.00012308, 0.00005518
Weibull, 1, 1, -0.35485586, 0.00159918, 0, -0.00152738, -0.00149878, -0.00134234, -0.00050198, 0, 0.00044565, 0.00040869, 0.00025277, -0.00010194
Weibull, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 1, 1, 0.24708850, -0.00152738, 0, 0.00330453, 0.00153637, 0.00155038, 0.00045534, 0, -0.00108184, -0.00046370, -0.00047766, -0.00000913
Weibull, 1, 1, 0.59544682, -0.00149878, 0, 0.00153637, 0.00394306, 0.00163323, 0.00043677, 0, -0.00046626, -0.00172128, -0.00056722, -0.00005336
Weibull, 1, 1, 1.01738982, -0.00134234, 0, 0.00155038, 0.00163323, 0.00717761, 0.00033516, 0, -0.00049838, -0.00060545, -0.00464968, -0.00029534
Weibull, 1, 1, 2.31808788, -0.00050198, 0, 0.00045534, 0.00043677, 0.00033516, 0.00064687, 0, -0.00061028, -0.00058627, -0.00048500, 0.00006621
Weibull, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 1, 1, -0.05934546, 0.00044565, 0, -0.00108184, -0.00046626, -0.00049838, -0.00061028, 0, 0.00153129, 0.00062943, 0.00066144, 0.00002093
Weibull, 1, 1, -0.08456711, 0.00040869, 0, -0.00046370, -0.00172128, -0.00060545, -0.00058627, 0, 0.00062943, 0.00231364, 0.00077720, 0.00007809
Weibull, 1, 1, -0.00275074, 0.00025277, 0, -0.00047766, -0.00056722, -0.00464968, -0.00048500, 0, 0.00066144, 0.00077720, 0.00434105, 0.00031927
Weibull, 1, 1, -0.21778276, -0.00010194, 0, -0.00000913, -0.00005336, -0.00029534, 0.00006621, 0, 0.00002093, 0.00007809, 0.00031927, 0.00015767
Weibull, 1, 2, -0.45720084, 0.00383333, 0, -0.00354944, -0.00352893, -0.00341420, -0.00169116, 0, 0.00146844, 0.00143838, 0.00128143, -0.00022378
Weibull, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 1, 2, 0.15461593, -0.00354944, 0, 0.00717947, 0.00354362, 0.00354143, 0.00148542, 0, -0.00314467, -0.00148059, -0.00147760, 0.00000427
Weibull, 1, 2, 0.30471626, -0.00352893, 0, 0.00354362, 0.00699415, 0.00355062, 0.00147056, 0, -0.00148209, -0.00323898, -0.00149176, -0.00001158
Weibull, 1, 2, 0.78564549, -0.00341420, 0, 0.00354143, 0.00355062, 0.00669334, 0.00138741, 0, -0.00148723, -0.00150070, -0.00361659, -0.00010029
Weibull, 1, 2, 2.21162655, -0.00169116, 0, 0.00148542, 0.00147056, 0.00138741, 0.00142735, 0, -0.00126595, -0.00124417, -0.00113042, 0.00016218
Weibull, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weibull, 1, 2, -0.00549738, 0.00146844, 0, -0.00314467, -0.00148209, -0.00148723, -0.00126595, 0, 0.00281124, 0.00127728, 0.00128432, 0.00001003
