"Link", "Stratum_1__SEER_historic_stage_LRD", "estimate", "c_int", "c_1__Year_of_diagnosis_BC__0", "c_1__Year_of_diagnosis_BC__1", "c_1__Year_of_diagnosis_BC__2", "c_1__Year_of_diagnosis_BC__3", "c_2__Age_breast__0", "c_2__Age_breast__1", "c_2__Age_breast__2", "u_int", "u_1__Year_of_diagnosis_BC__0", "u_1__Year_of_diagnosis_BC__1", "u_1__Year_of_diagnosis_BC__2", "u_1__Year_of_diagnosis_BC__3", "u_2__Age_breast__0", "u_2__Age_breast__1", "u_2__Age_breast__2", "s_int"
Loglogistic, 0, 0.67005355, 0.00111173, 0, -0.00084833, -0.00077747, -0.00073202, 0, -0.00014793, 0.00011553, -0.00077159, 0, 0.00045499, 0.00038448, 0.00030998, 0, 0.00014384, 0.00002472, -0.00013543
Loglogistic, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Loglogistic, 0, 0.43006662, -0.00084833, 0, 0.00172168, 0.00084051, 0.00084560, 0, -0.00007159, -0.00009606, 0.00048274, 0, -0.00106381, -0.00046937, -0.00046996, 0, 0.00005117, 0.00005478, 0.00000728
Loglogistic, 0, 0.67074454, -0.00077747, 0, 0.00084051, 0.00228702, 0.00091163, 0, 0.00024463, 0.00033945, 0.00040765, 0, -0.00050766, -0.00158496, -0.00060195, 0, -0.00015059, -0.00017232, -0.00006910
Loglogistic, 0, 1.17787309, -0.00073202, 0, 0.00084560, 0.00091163, 0.00270999, 0, 0.00043055, -0.00013535, 0.00032422, 0, -0.00050397, -0.00056243, -0.00194274, 0, -0.00024566, 0.00016085, -0.00008730
Loglogistic, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Loglogistic, 0, -0.50485400, -0.00014793, 0, -0.00007159, 0.00024463, 0.00043055, 0, 0.00318353, 0.00092622, 0.00012230, 0, -0.00006213, -0.00035850, -0.00057387, 0, -0.00217820, -0.00056996, -0.00018225
Loglogistic, 0, -0.92984950, 0.00011553, 0, -0.00009606, 0.00033945, -0.00013535, 0, 0.00092622, 0.00460282, -0.00000100, 0, -0.00015196, -0.00061981, -0.00039245, 0, -0.00066609, -0.00271228, -0.00029411
Loglogistic, 0, 2.67019150, -0.00077159, 0, 0.00048274, 0.00040765, 0.00032422, 0, 0.00012230, -0.00000100, 0.00087230, 0, -0.00044918, -0.00038185, -0.00028307, 0, -0.00026954, -0.00021690, 0.00013495
Loglogistic, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Loglogistic, 0, -0.05628131, 0.00045499, 0, -0.00106381, -0.00050766, -0.00050397, 0, -0.00006213, -0.00015196, -0.00044918, 0, 0.00110151, 0.00051558, 0.00052207, 0, 0.00004087, 0.00007483, 0.00002630
Loglogistic, 0, -0.02268708, 0.00038448, 0, -0.00046937, -0.00158496, -0.00056243, 0, -0.00035850, -0.00061981, -0.00038185, 0, 0.00051558, 0.00159588, 0.00065060, 0, 0.00024244, 0.00032868, 0.00010289
Loglogistic, 0, -0.17597261, 0.00030998, 0, -0.00046996, -0.00060195, -0.00194274, 0, -0.00057387, -0.00039245, -0.00028307, 0, 0.00052207, 0.00065060, 0.00186422, 0, 0.00036857, 0.00015375, 0.00014991
Loglogistic, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
