SEER_historic_stage_LRD,Year_of_diagnosis_BC,Age_breast,follow-up,link,r,cure,lambda,k,theta,surv_curemodel,surv_notcured,median_surv_notcured,s1_numerical,G_numerical,CI_numerical,s1_analytical,G_analytical,CI_analytical,se_CI_analytical,obs_surv,obs_dist_surv
0,0,0,1,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.992115681851993,0.976707027968066,14.4427347116933,0.940177055150834,0.979750839476607,0.0202491605233929,0.889428088319873,0.96257308304306,0.0374269169569397,0.00213614321555028,0.99715,0.71976
0,0,0,2,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.979969229471504,0.940822253879208,14.4427347116933,0.886799669502685,0.961683403093567,0.038316596906433,0.834025943319002,0.943820296293904,0.0561797037060956,0.00261281505531542,0.98242,0.50437
0,0,0,3,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.966202416940404,0.900150381786268,14.4427347116933,0.839297220324579,0.945604543701288,0.0543954562987116,0.785213220337935,0.927297929069762,0.0727020709302379,0.00286184919952685,0.96203,0.35637
0,0,0,4,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.951836307772105,0.857707982483869,14.4427347116933,0.792076322209996,0.929620985078559,0.0703790149214412,0.740655604459203,0.912215851135568,0.087784148864432,0.00298853057537827,0.94281,0.27071
0,0,0,5,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.937448438480782,0.815201296336683,14.4427347116933,0.747516043172207,0.91453800570537,0.08546199429463,0.699612957844105,0.898323537045891,0.101676462954109,0.00304209351531783,0.92618,0.21435
0,0,0,6,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.923385917326892,0.773655799847706,14.4427347116933,0.704945492087657,0.900128519100293,0.0998714808997074,0.661689803449647,0.885487123813093,0.114512876186907,0.00305212162451854,0.91252,0.18396
0,0,0,7,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.909855628129942,0.733682698568404,14.4427347116933,0.665479689169865,0.886769942713224,0.113230057286776,0.626597397326278,0.873608875984675,0.126391124015325,0.00303804445874107,0.8999,0.15916
0,0,0,8,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.896974080569018,0.695626201933949,14.4427347116933,0.628393034904775,0.874216672101374,0.125783327898626,0.59409174458213,0.862606204986223,0.137393795013777,0.00301299689112085,0.88888,0.14473
0,0,0,9,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.884798449164321,0.659655223029145,14.4427347116933,0.594161485387166,0.862629811192165,0.137370188807835,0.563954806148548,0.852405307896254,0.147594692103746,0.00298584626368096,0.87816,0.13022
0,0,0,10,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.873346984810758,0.625823681238858,14.4427347116933,0.561825369465122,0.85168452583954,0.14831547416046,0.535988068512831,0.842938990898168,0.157061009101832,0.00296243235445506,0.86876,0.12613
0,0,0,11,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.862612767774422,0.594111133302765,14.4427347116933,0.532157158250215,0.84164228581195,0.15835771418805,0.510009895427733,0.834145772874031,0.165854227125969,0.00294639868399505,0.86082,0.11786
0,0,0,12,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.852573059442389,0.564450401582304,14.4427347116933,0.504713265982047,0.832352944049755,0.167647055950245,0.485854047343181,0.825969384254646,0.174030615745354,0.0029397852394646,0.85198,0.11037
0,0,0,13,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.843195665653705,0.536746373516485,14.4427347116933,0.47891835784032,0.823621758432515,0.176378241567485,0.463368547993199,0.818358383376398,0.181641616623602,0.00294347084033596,0.84494,0.10784
0,0,0,14,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.834443244558848,0.510888728511921,14.4427347116933,0.455079142865367,0.815552545323789,0.184447454676211,0.442414649429185,0.811265806160692,0.188734193839308,0.00295751381489586,0.83854,0.10442
0,0,0,15,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.826276193023236,0.486760465365864,14.4427347116933,0.433007179583793,0.808081520139691,0.191918479860309,0.422865831696477,0.804648827519633,0.195351172480367,0.00298141804696623,0.83161,0.10003
0,0,0,16,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.818654548962137,0.464243522414063,14.4427347116933,0.412465830945008,0.80112858482361,0.19887141517639,0.404606830602353,0.798468432270219,0.201531567729781,0.0030143396938778,0.82404,0.09639
0,0,0,17,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.81153921365659,0.443222388670008,14.4427347116933,0.39318346563211,0.794601796289945,0.205398203710055,0.387532701862425,0.792689098362074,0.207310901637926,0.00305524423408917,0.81809,0.09546
0,0,0,18,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.804892706167259,0.42358633262144,14.4427347116933,0.375272567684343,0.788539228681866,0.211460771318134,0.371547931197323,0.787278495658657,0.212721504341343,0.00310302141350652,0.81155,0.09357
0,0,0,19,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.798679598007282,0.405230686402585,14.4427347116933,0.358495037908389,0.782860289029599,0.217139710970401,0.356565597487141,0.782207202677721,0.217792797322279,0.00315656518409354,0.80567,0.09261
0,0,0,20,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.792866731526573,0.388057490976072,14.4427347116933,0.342800105959054,0.777547792340459,0.222452207659541,0.342506593103586,0.777448442685556,0.222551557314444,0.00321482560573766,0.79996,0.09163
0,0,0,21,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.787423294125459,0.371975715385398,14.4427347116933,0.3280455463897,0.772553597455452,0.227446402544548,0.329298902981955,0.772977839673778,0.227022160326222,0.00327683931189074,0.79372,0.09163
0,0,0,22,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.782320798426009,0.356901198174244,14.4427347116933,0.31425436246155,0.767885490630004,0.232114509369996,0.316876942054363,0.76877319409051,0.23122680590949,0.00334174439817264,0.78923,0.0906
0,0,0,23,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.777533003091075,0.342756413458851,14.4427347116933,0.301250245662991,0.763483794103982,0.236516205896018,0.305180949291482,0.764814277732695,0.235185722267305,0.00340878460065204,0.7823,0.0906
0,0,0,24,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.773035798144767,0.329470132125481,14.4427347116933,0.289159606885632,0.759391296049091,0.240608703950909,0.294156435684744,0.761082646896433,0.238917353103567,0.00347730656715865,0.77587,0.0884
0,0,0,25,Loglogistic,1.5,0.661515149840117,14.4427347116933,1.39916371260717,0.364710519260059,0.768807071048795,0.316977026174138,14.4427347116933,0.277668310501696,0.755501666314431,0.244498333685569,0.283753682937438,0.757561472691511,0.242438527308489,0.00354675303516408,0.77133,0.0884
0,0,1,1,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.99448928358054,0.987988685491328,23.3770709957786,0.97558867788701,0.988800237185391,0.0111997628146085,0.947338376914935,0.975839174738053,0.0241608252619467,0.00122493143526373,0.99526,0.63663
0,0,1,2,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.985745914370901,0.96893138886261,23.3770709957786,0.946042080176619,0.97524444185389,0.0247555581461101,0.917372184636761,0.962090872027569,0.0379091279724307,0.00161205457801757,0.98534,0.4706
0,0,1,3,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.975445107881644,0.946479457567704,23.3770709957786,0.917193689097614,0.962008979383957,0.0379910206160432,0.888638991883833,0.948908261833426,0.0510917381665741,0.00190891109772849,0.97408,0.35178
0,0,1,4,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.964225070689963,0.922023944844828,23.3770709957786,0.888214851220798,0.948713668734206,0.0512863312657941,0.860454561275596,0.935977420299485,0.0640225797005147,0.00215075727222053,0.96336,0.2797
0,0,1,5,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.952473464372674,0.896409808911326,23.3770709957786,0.85966432879168,0.935614866548923,0.0643851334510774,0.832792313556531,0.923286153028565,0.0767138469714349,0.00235007695101535,0.95051,0.21877
0,0,1,6,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.940455255162888,0.870214577717795,23.3770709957786,0.831501570295312,0.922693968045167,0.0773060319548329,0.805734974672064,0.9108724141701,0.0891275858298995,0.00251361579419132,0.93694,0.1793
0,0,1,7,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.92836041637343,0.843852322509226,23.3770709957786,0.803996201723667,0.910074675951729,0.0899253240482711,0.779372285837512,0.898777376435737,0.101222623564263,0.00264629100666297,0.92431,0.14543
0,0,1,8,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.916327773076738,0.817625630368647,23.3770709957786,0.777222754199413,0.897791184684312,0.102208815315688,0.753777284478526,0.887034548942273,0.112965451057727,0.00275239587046339,0.9118,0.12119
0,0,1,9,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.904459134569859,0.791756407740455,23.3770709957786,0.751030193552384,0.885774200704658,0.114225799295342,0.729002314156321,0.875667946590161,0.124332053409839,0.00283599580924423,0.9003,0.1112
0,0,1,10,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.892828620995829,0.766406209000101,23.3770709957786,0.725501064536445,0.87406159503264,0.12593840496736,0.705080631563436,0.864692827343174,0.135307172656826,0.00290104014373429,0.89043,0.10725
0,0,1,11,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.88148925573621,0.741690605420681,23.3770709957786,0.700805671484286,0.862731502237275,0.137268497762725,0.682029453927887,0.854117090358483,0.145882909641517,0.00295136749978967,0.88018,0.10304
0,0,1,12,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.870477833102069,0.717689794930868,23.3770709957786,0.677187818858277,0.85189577829011,0.14810422170989,0.659853103753211,0.843942718773836,0.156057281226164,0.00299067178588191,0.87151,0.09118
0,0,1,13,Loglogistic,1.5,0.541206217231102,23.3770709957786,1.39916371260717,0.408457802378286,0.859818613054742,0.694456655233558,23.3770709957786,0.654508362238868,0.841490584596548,0.158509415403452,0.638545822939563,0.834167070808823,0.165832929191177,0.00302245484983907,0.86029,0.08489
